Lithography,Processor_Base_Frequency,TDP,Max_Memory_Size,Max_Memory_Bandwidth,Graphics_Base_Frequency
90 nm,1.66 GHz,104 W,,,
90 nm,1.40 GHz,104 W,,,
90 nm,1.42 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
130 nm,1.00 GHz,100 W,,,
130 nm,1.30 GHz,97 W,,,
130 nm,1.40 GHz,91 W,,,
130 nm,1.50 GHz,107 W,,,
130 nm,1.50 GHz,107 W,,,
130 nm,1.60 GHz,122 W,,,
130 nm,1.66 GHz,122 W,,,
22 nm,1.70 GHz,6 W,16 GB,10.7 GB/s,
22 nm,1.40 GHz,10 W,32 GB,,
22 nm,1.70 GHz,9 W,32 GB,21.3 GB/s,
22 nm,2.40 GHz,14 W,64 GB,25.6 GB/s,
22 nm,1.70 GHz,12 W,32 GB,25.6 GB/s,
22 nm,2.40 GHz,20 W,64 GB,25.6 GB/s,
22 nm,1.25 GHz,6 W,16 GB,,
22 nm,1.70 GHz,7 W,16 GB,,
22 nm,1.70 GHz,7 W,16 GB,,
22 nm,1.25 GHz,9.5 W,32 GB,,
22 nm,1.70 GHz,13 W,32 GB,,
22 nm,2.40 GHz,15 W,64 GB,,
22 nm,2.40 GHz,15 W,64 GB,,
22 nm,2.00 GHz,18 W,32 GB,,
22 nm,2.40 GHz,20 W,64 GB,,
22 nm,2.40 GHz,20 W,64 GB,,
14 nm,2.00 GHz,31 W,256 GB,,
14 nm,2.10 GHz,32 W,256 GB,,
14 nm,1.70 GHz,24 W,256 GB,,
14 nm,1.90 GHz,21.5 W,256 GB,,
14 nm,2.00 GHz,25 W,256 GB,,
14 nm,2.10 GHz,25 W,256 GB,,
14 nm,2.00 GHz,25 W,256 GB,,
14 nm,2.20 GHz,25 W,256 GB,,
14 nm,2.20 GHz,21 W,256 GB,,
14 nm,1.70 GHz,17 W,256 GB,,
14 nm,2.20 GHz,16 W,256 GB,,
14 nm,2.10 GHz,15 W,256 GB,,
14 nm,1.60 GHz,11.5 W,256 GB,,
14 nm,1.50 GHz,9 W,128 GB,,
14 nm,1.60 GHz,9.5 W,128 GB,,
32 nm,1.86 GHz,10 W,4 GB,6.4 GB/s,640 MHz
32 nm,2.13 GHz,10 W,4 GB,6.4 GB/s,640 MHz
22 nm,1.46 GHz,5 W,8 GB,,400 MHz
22 nm,1.33 GHz,6 W,8 GB,,533 MHz
22 nm,1.46 GHz,7 W,8 GB,,533 MHz
22 nm,1.75 GHz,8 W,8 GB,,542 MHz
22 nm,1.91 GHz,10 W,8 GB,,542 MHz
32 nm,1.86 GHz,6.5 W,4.88 GB,,640 MHz
32 nm,1.60 GHz,8.1 W,8 GB,10.6 GB/s,
32 nm,1.60 GHz,6.1 W,8 GB,10.6 GB/s,
32 nm,2.00 GHz,8.5 W,8 GB,10.6 GB/s,
32 nm,1.60 GHz,11.7 W,8 GB,,
32 nm,1.60 GHz,13.1 W,8 GB,,
32 nm,2.00 GHz,14.1 W,8 GB,,
28 nm,1.00 GHz,,1 GB,3.2 GB/s,480 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,,,2 GB,4.2 GB/s,600 MHz
28 nm,1.20 GHz,,2 GB,4.2 GB/s,456 MHz
28 nm,1.20 GHz,,2 GB,4.2 GB/s,456 MHz
14 nm,1.04 GHz,5 W,8 GB,,320 MHz
14 nm,1.44 GHz,,2 GB,12.8 GB/s,200 MHz
14 nm,1.44 GHz,,2 GB,12.8 GB/s,200 MHz
14 nm,1.44 GHz,,2 GB,12.8 GB/s,200 MHz
14 nm,1.44 GHz,,8 GB,25.6 GB/s,200 MHz
14 nm,1.44 GHz,,8 GB,25.6 GB/s,200 MHz
14 nm,1.30 GHz,6.5 W,8 GB,34.1 GB/s,400 MHz
14 nm,1.60 GHz,9.5 W,8 GB,34.1 GB/s,400 MHz
14 nm,1.60 GHz,,8 GB,25.6 GB/s,200 MHz
14 nm,1.60 GHz,12 W,8 GB,38.4 GB/s,500 MHz
32 nm,,,2 GB,6.4 GB/s,400 MHz
32 nm,1.20 GHz,,2 GB,8.5 GB/s,300 MHz
32 nm,,,2 GB,8.5 GB/s,400 MHz
32 nm,,,2 GB,8.5 GB/s,400 MHz
32 nm,1.80 GHz,,2.4 GB,6.4 GB/s,533 MHz
22 nm,,,4 GB,8.5 GB/s,400 MHz
22 nm,,,4 GB,8.5 GB/s,457 MHz
22 nm,,,4 GB,12.8 GB/s,457 MHz
22 nm,,,4 GB,12.8 GB/s,457 MHz
22 nm,,,4 GB,12.8 GB/s,457 MHz
22 nm,,,4 GB,12.8 GB/s,457 MHz
22 nm,,,4 GB,12.8 GB/s,457 MHz
22 nm,1.33 GHz,,1 GB,5.3 GB/s,311 MHz
22 nm,1.33 GHz,,2 GB,10.6 GB/s,311 MHz
22 nm,1.33 GHz,,2 GB,10.6 GB/s,311 MHz
22 nm,1.33 GHz,,1 GB,5.3 GB/s,311 MHz
22 nm,1.33 GHz,,2 GB,10.6 GB/s,313 MHz
22 nm,1.33 GHz,,1 GB,5.3 GB/s,313 MHz
22 nm,1.33 GHz,,4 GB,17.1 GB/s,311 MHz
22 nm,1.33 GHz,,2 GB,10.6 GB/s,313 MHz
22 nm,1.33 GHz,,4 GB,17.1 GB/s,311 MHz
22 nm,1.33 GHz,,2 GB,10.6 GB/s,311 MHz
22 nm,1.46 GHz,,4 GB,17.1 GB/s,311 MHz
22 nm,1.46 GHz,,4 GB,17.1 GB/s,311 MHz
22 nm,1.50 GHz,,2 GB,10.6 GB/s,313 MHz
22 nm,1.49 GHz,,2 GB,10.6 GB/s,311 MHz
22 nm,1.49 GHz,,4 GB,21.3 GB/s,313 MHz
22 nm,1.59 GHz,,4 GB,17.1 GB/s,311 MHz
45 nm,600 MHz,3.3 W,2 GB,,320 MHz
45 nm,800 MHz,0.65 W,,,
45 nm,1.10 GHz,2 W,,,
45 nm,1.00 GHz,3.6 W,2 GB,,320 MHz
45 nm,1.20 GHz,1.3 W,1 GB,1.6 GB/s,200 MHz
45 nm,1.10 GHz,2.2 W,,,
45 nm,1.00 GHz,3.6 W,2 GB,,320 MHz
45 nm,1.10 GHz,2.2 W,,,
45 nm,1.00 GHz,7 W,2.93 GB,,320 MHz
45 nm,1.20 GHz,1.4 W,,,
45 nm,1.00 GHz,7 W,2.93 GB,,320 MHz
45 nm,1.60 GHz,4 W,,,
45 nm,1.33 GHz,2 W,,,
45 nm,1.30 GHz,3.6 W,2 GB,,400 MHz
45 nm,1.60 GHz,2.2 W,2 GB,3.2 GB/s,400 MHz
45 nm,1.33 GHz,2.2 W,,,
45 nm,1.30 GHz,3.6 W,2 GB,,400 MHz
45 nm,1.60 GHz,2 W,,,
45 nm,1.30 GHz,7 W,2.93 GB,,400 MHz
45 nm,1.90 GHz,2.2 W,2 GB,3.2 GB/s,400 MHz
45 nm,1.66 GHz,5.5 W,2 GB,,
45 nm,1.60 GHz,2.2 W,,,
45 nm,1.20 GHz,3 W,2.93 GB,,400 MHz
45 nm,1.30 GHz,7 W,2.93 GB,,400 MHz
45 nm,1.66 GHz,6.5 W,2 GB,,200 MHz
45 nm,1.66 GHz,10 W,4 GB,6.4 GB/s,
45 nm,1.66 GHz,13 W,4 GB,6.4 GB/s,
45 nm,1.86 GHz,2.4 W,,,
45 nm,1.50 GHz,3 W,2.93 GB,,400 MHz
45 nm,1.60 GHz,4.5 W,2 GB,,400 MHz
45 nm,1.50 GHz,8.5 W,2 GB,,200 MHz
45 nm,1.83 GHz,6.5 W,2 GB,,200 MHz
45 nm,2.00 GHz,2.4 W,,,
45 nm,1.60 GHz,2.5 W,,,
45 nm,1.60 GHz,8 W,,,
45 nm,1.66 GHz,8.5 W,2 GB,,200 MHz
45 nm,1.60 GHz,4.5 W,2 GB,,400 MHz
45 nm,2.13 GHz,2.5 W,,,
45 nm,1.83 GHz,6.5 W,2 GB,,200 MHz
45 nm,1.80 GHz,13 W,4 GB,6.4 GB/s,
45 nm,1.80 GHz,10 W,4 GB,6.4 GB/s,
45 nm,1.66 GHz,2.5 W,,,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,1.73 GHz,130 W,,,
32 nm,2.66 GHz,170 W,,,
14 nm,1.50 GHz,260 W,384 GB,115.2 GB/s,
22 nm,1.10 GHz,300 W,6 GB,240 GB/s,
22 nm,1.10 GHz,300 W,6 GB,240 GB/s,
32 nm,3.60 GHz,95 W,32 GB,21 GB/s,
14 nm,1.60 GHz,35 W,128 GB,,
32 nm,1.60 GHz,80 W,288 GB,25.6 GB/s,
,1.00 GHz,25 W,32 GB,25.6 GB/s,
22 nm,3.10 GHz,80 W,32 GB,25.6 GB/s,
14 nm,1.80 GHz,47 W,32 GB,25.6 GB/s,700 MHz
14 nm,3.00 GHz,80 W,64 GB,34.1 GB/s,
14 nm,3.00 GHz,72 W,64 GB,37.5 GB/s,
32 nm,2.90 GHz,135 W,384 GB,51.2 GB/s,
22 nm,2.70 GHz,130 W,768 GB,59.7 GB/s,
22 nm,2.40 GHz,115 W,768 GB,59.7 GB/s,
14 nm,3.50 GHz,140 W,1.54 TB,76.8 GB/s,
14 nm,3.70 GHz,140 W,1.54 TB,76.8 GB/s,
14 nm,3.60 GHz,140 W,1.54 TB,76.8 GB/s,
14 nm,3.20 GHz,140 W,1.54 TB,76.8 GB/s,
14 nm,3.40 GHz,140 W,1.54 TB,76.8 GB/s,
14 nm,1.70 GHz,85 W,1.54 TB,59.7 GB/s,
14 nm,1.60 GHz,50 W,1.54 TB,59.7 GB/s,
14 nm,1.70 GHz,85 W,1.54 TB,59.7 GB/s,
14 nm,2.20 GHz,75 W,1.54 TB,68.3 GB/s,
14 nm,2.10 GHz,85 W,1.54 TB,68.3 GB/s,
14 nm,2.60 GHz,85 W,1.54 TB,68.3 GB/s,
14 nm,1.90 GHz,75 W,1.54 TB,68.3 GB/s,
14 nm,1.80 GHz,55 W,1.54 TB,68.3 GB/s,
14 nm,2.20 GHz,85 W,1.54 TB,68.3 GB/s,
14 nm,3.50 GHz,135 W,1.54 TB,76.8 GB/s,
14 nm,2.40 GHz,90 W,1.54 TB,68.3 GB/s,
14 nm,3.40 GHz,135 W,1.54 TB,76.8 GB/s,
14 nm,1.80 GHz,75 W,1.54 TB,76.8 GB/s,
14 nm,1.70 GHz,65 W,1.54 TB,76.8 GB/s,
14 nm,2.20 GHz,105 W,1.54 TB,76.8 GB/s,
14 nm,2.00 GHz,105 W,,76.8 GB/s,
14 nm,3.20 GHz,135 W,1.54 TB,76.8 GB/s,
14 nm,2.30 GHz,105 W,1.54 TB,76.8 GB/s,
14 nm,2.40 GHz,120 W,1.54 TB,76.8 GB/s,
14 nm,2.10 GHz,120 W,1.54 TB,76.8 GB/s,
14 nm,3.00 GHz,160 W,1.54 TB,76.8 GB/s,
14 nm,2.60 GHz,135 W,1.54 TB,76.8 GB/s,
14 nm,2.10 GHz,120 W,1.54 TB,76.8 GB/s,
14 nm,2.60 GHz,145 W,1.54 TB,76.8 GB/s,
14 nm,2.30 GHz,145 W,1.54 TB,76.8 GB/s,
14 nm,2.20 GHz,135 W,1.54 TB,76.8 GB/s,
14 nm,2.20 GHz,145 W,1.54 TB,76.8 GB/s,
14 nm,2.20 GHz,145 W,1.54 TB,76.8 GB/s,
14 nm,2.40 GHz,145 W,1.54 TB,76.8 GB/s,
14 nm,1.80 GHz,105 W,1.54 TB,68 GB/s,
14 nm,2.10 GHz,105 W,1.54 TB,68 GB/s,
14 nm,2.60 GHz,135 W,1.54 TB,68 GB/s,
14 nm,1.80 GHz,75 W,1.54 TB,68 GB/s,
14 nm,2.10 GHz,105 W,1.54 TB,68 GB/s,
14 nm,2.20 GHz,105 W,1.54 TB,68 GB/s,
14 nm,2.50 GHz,135 W,1.54 TB,68 GB/s,
14 nm,2.20 GHz,120 W,1.54 TB,68 GB/s,
14 nm,2.20 GHz,135 W,1.54 TB,68 GB/s,
14 nm,2.20 GHz,135 W,1.54 TB,68 GB/s,
22 nm,1.60 GHz,85 W,768 GB,51 GB/s,
22 nm,2.00 GHz,52 W,768 GB,59 GB/s,
22 nm,1.90 GHz,85 W,768 GB,51 GB/s,
22 nm,2.30 GHz,75 W,768 GB,59 GB/s,
22 nm,2.40 GHz,85 W,768 GB,59 GB/s,
22 nm,3.00 GHz,105 W,768 GB,59 GB/s,
22 nm,2.00 GHz,75 W,768 GB,59 GB/s,
22 nm,2.40 GHz,85 W,768 GB,59 GB/s,
22 nm,1.80 GHz,55 W,768 GB,59 GB/s,
22 nm,3.50 GHz,135 W,768 GB,68 GB/s,
22 nm,2.60 GHz,90 W,768 GB,59 GB/s,
22 nm,3.40 GHz,135 W,768 GB,68 GB/s,
22 nm,2.30 GHz,105 W,768 GB,68 GB/s,
22 nm,1.80 GHz,75 W,768 GB,68 GB/s,
22 nm,1.80 GHz,65 W,768 GB,68 GB/s,
22 nm,2.20 GHz,105 W,768 GB,68 GB/s,
22 nm,2.20 GHz,105 W,768 GB,68 GB/s,
22 nm,2.60 GHz,105 W,768 GB,68 GB/s,
22 nm,3.20 GHz,135 W,768 GB,68 GB/s,
22 nm,2.30 GHz,120 W,768 GB,68 GB/s,
22 nm,2.50 GHz,120 W,768 GB,68 GB/s,
22 nm,2.00 GHz,120 W,768 GB,68 GB/s,
22 nm,1.70 GHz,105 W,768 GB,68 GB/s,
22 nm,2.00 GHz,105 W,768 GB,68 GB/s,
22 nm,3.10 GHz,160 W,768 GB,68 GB/s,
22 nm,2.60 GHz,135 W,768 GB,68 GB/s,
22 nm,2.60 GHz,135 W,768 GB,68 GB/s,
22 nm,1.90 GHz,105 W,768 GB,68 GB/s,
22 nm,3.20 GHz,140 W,768 GB,68 GB/s,
22 nm,2.30 GHz,120 W,768 GB,68 GB/s,
22 nm,1.70 GHz,105 W,768 GB,68 GB/s,
22 nm,3.00 GHz,140 W,768 GB,68 GB/s,
22 nm,2.10 GHz,105 W,768 GB,68 GB/s,
22 nm,3.50 GHz,140 W,768 GB,68 GB/s,
22 nm,2.60 GHz,145 W,768 GB,68 GB/s,
22 nm,2.90 GHz,135 W,768 GB,68 GB/s,
22 nm,1.80 GHz,45 W,384 GB,51.2 GB/s,
22 nm,3.70 GHz,140 W,768 GB,68 GB/s,
22 nm,2.30 GHz,135 W,768 GB,68 GB/s,
22 nm,2.10 GHz,120 W,768 GB,68 GB/s,
22 nm,2.00 GHz,50 W,384 GB,51.2 GB/s,
22 nm,3.50 GHz,140 W,768 GB,68 GB/s,
22 nm,2.00 GHz,135 W,768 GB,68 GB/s,
22 nm,1.80 GHz,55 W,384 GB,51.2 GB/s,
22 nm,2.10 GHz,135 W,768 GB,68 GB/s,
22 nm,1.80 GHz,70 W,384 GB,51.2 GB/s,
22 nm,2.00 GHz,65 W,384 GB,51.2 GB/s,
22 nm,2.30 GHz,145 W,768 GB,68 GB/s,
22 nm,3.00 GHz,130 W,768 GB,59.7 GB/s,
22 nm,2.80 GHz,115 W,768 GB,59.7 GB/s,
22 nm,3.40 GHz,150 W,256 GB,59.7 GB/s,
22 nm,2.50 GHz,115 W,768 GB,59.7 GB/s,
22 nm,3.30 GHz,130 W,768 GB,59.7 GB/s,
22 nm,2.20 GHz,95 W,768 GB,59.7 GB/s,
22 nm,1.70 GHz,70 W,768 GB,51.2 GB/s,
22 nm,2.40 GHz,95 W,768 GB,59.7 GB/s,
22 nm,2.60 GHz,95 W,768 GB,59.7 GB/s,
22 nm,2.40 GHz,95 W,384 GB,38.4 GB/s,
22 nm,1.90 GHz,70 W,768 GB,59.7 GB/s,
22 nm,1.70 GHz,60 W,384 GB,38.4 GB/s,
22 nm,3.50 GHz,130 W,768 GB,59.7 GB/s,
22 nm,2.50 GHz,95 W,384 GB,38.4 GB/s,
22 nm,2.40 GHz,115 W,768 GB,59.7 GB/s,
22 nm,1.80 GHz,70 W,384 GB,38.4 GB/s,
22 nm,2.00 GHz,95 W,768 GB,51.2 GB/s,
22 nm,3.50 GHz,130 W,768 GB,59.7 GB/s,
22 nm,2.40 GHz,95 W,768 GB,59.7 GB/s,
22 nm,1.90 GHz,95 W,384 GB,38.4 GB/s,
22 nm,2.40 GHz,60 W,768 GB,51.2 GB/s,
22 nm,2.40 GHz,60 W,384 GB,38.4 GB/s,
22 nm,2.20 GHz,95 W,768 GB,59.7 GB/s,
22 nm,2.60 GHz,80 W,768 GB,51.2 GB/s,
22 nm,2.50 GHz,80 W,384 GB,38.4 GB/s,
22 nm,3.30 GHz,130 W,768 GB,59.7 GB/s,
22 nm,1.90 GHz,70 W,768 GB,59.7 GB/s,
22 nm,1.90 GHz,70 W,768 GB,51.2 GB/s,
22 nm,1.80 GHz,60 W,384 GB,38.4 GB/s,
22 nm,2.10 GHz,80 W,768 GB,51.2 GB/s,
22 nm,2.20 GHz,80 W,384 GB,38.4 GB/s,
22 nm,3.70 GHz,130 W,256 GB,59.7 GB/s,
22 nm,2.60 GHz,95 W,768 GB,51.2 GB/s,
22 nm,2.00 GHz,50 W,768 GB,42.6 GB/s,
22 nm,2.00 GHz,50 W,384 GB,32 GB/s,
22 nm,3.50 GHz,130 W,256 GB,59.7 GB/s,
22 nm,2.30 GHz,95 W,768 GB,51.2 GB/s,
22 nm,2.60 GHz,95 W,768 GB,42.6 GB/s,
22 nm,2.50 GHz,80 W,768 GB,42.6 GB/s,
22 nm,2.40 GHz,80 W,384 GB,32 GB/s,
22 nm,3.70 GHz,130 W,256 GB,59.7 GB/s,
22 nm,2.20 GHz,60 W,384 GB,38.4 GB/s,
22 nm,1.80 GHz,80 W,768 GB,42.6 GB/s,
22 nm,1.80 GHz,80 W,384 GB,32 GB/s,
22 nm,2.20 GHz,95 W,768 GB,42.6 GB/s,
32 nm,3.10 GHz,150 W,256 GB,51.2 GB/s,
32 nm,2.70 GHz,130 W,384 GB,51.2 GB/s,
32 nm,2.60 GHz,115 W,384 GB,51.2 GB/s,
32 nm,2.90 GHz,130 W,384 GB,51.2 GB/s,
32 nm,2.40 GHz,115 W,384 GB,51.2 GB/s,
32 nm,2.20 GHz,95 W,384 GB,51.2 GB/s,
32 nm,2.10 GHz,95 W,384 GB,51.2 GB/s,
32 nm,2.00 GHz,95 W,384 GB,51.2 GB/s,
32 nm,1.80 GHz,70 W,384 GB,,
32 nm,1.80 GHz,70 W,384 GB,51.2 GB/s,
32 nm,3.30 GHz,130 W,384 GB,51.2 GB/s,
32 nm,2.30 GHz,95 W,384 GB,38.4 GB/s,
32 nm,1.80 GHz,70 W,384 GB,38.4 GB/s,
32 nm,2.50 GHz,95 W,384 GB,42.6 GB/s,
32 nm,2.10 GHz,95 W,384 GB,38.4 GB/s,
32 nm,3.00 GHz,80 W,384 GB,51.2 GB/s,
32 nm,1.80 GHz,70 W,384 GB,,
32 nm,2.60 GHz,115 W,384 GB,51.2 GB/s,
32 nm,2.00 GHz,60 W,384 GB,42.6 GB/s,
32 nm,2.70 GHz,130 W,384 GB,51.2 GB/s,
32 nm,2.40 GHz,95 W,384 GB,32 GB/s,
32 nm,2.30 GHz,95 W,384 GB,42.6 GB/s,
32 nm,3.30 GHz,130 W,256 GB,51.2 GB/s,
32 nm,2.00 GHz,60 W,384 GB,32 GB/s,
32 nm,2.20 GHz,95 W,384 GB,32 GB/s,
32 nm,2.40 GHz,95 W,384 GB,51.2 GB/s,
32 nm,1.80 GHz,60 W,384 GB,,
32 nm,2.20 GHz,95 W,384 GB,42.6 GB/s,
32 nm,3.20 GHz,130 W,256 GB,51.2 GB/s,
32 nm,2.00 GHz,95 W,384 GB,42.6 GB/s,
32 nm,1.90 GHz,95 W,384 GB,32 GB/s,
32 nm,2.90 GHz,130 W,384 GB,51.2 GB/s,
32 nm,2.00 GHz,50 W,384 GB,,
32 nm,1.80 GHz,60 W,,32 GB/s,
32 nm,3.60 GHz,130 W,375 GB,51.2 GB/s,
32 nm,2.40 GHz,80 W,384 GB,34.1 GB/s,
32 nm,2.40 GHz,95 W,384 GB,42.6 GB/s,
32 nm,2.20 GHz,80 W,384 GB,25 GB/s,
32 nm,2.20 GHz,95 W,384 GB,34.1 GB/s,
32 nm,1.80 GHz,80 W,384 GB,25 GB/s,
32 nm,2.00 GHz,95 W,384 GB,34.1 GB/s,
32 nm,1.80 GHz,80 W,384 GB,34.1 GB/s,
14 nm,3.30 GHz,73 W,64 GB,37.5 GB/s,350 MHz
14 nm,3.50 GHz,72 W,64 GB,37.5 GB/s,
14 nm,3.70 GHz,72 W,64 GB,37.5 GB/s,
14 nm,3.70 GHz,73 W,64 GB,37.5 GB/s,350 MHz
14 nm,3.80 GHz,72 W,64 GB,37.5 GB/s,
14 nm,3.80 GHz,73 W,64 GB,37.5 GB/s,350 MHz
14 nm,3.90 GHz,72 W,64 GB,37.5 GB/s,
14 nm,4.10 GHz,79 W,64 GB,37.5 GB/s,350.00 GHz
14 nm,2.10 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.20 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.00 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.10 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.30 GHz,80 W,64 GB,34.1 GB/s,400 MHz
14 nm,3.40 GHz,80 W,64 GB,34.1 GB/s,
14 nm,3.50 GHz,80 W,64 GB,34.1 GB/s,
14 nm,2.00 GHz,25 W,64 GB,34.1 GB/s,400 MHz
14 nm,2.10 GHz,25 W,64 GB,34.1 GB/s,
14 nm,3.50 GHz,80 W,64 GB,34.1 GB/s,400 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,
14 nm,2.40 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.60 GHz,80 W,64 GB,34.1 GB/s,
14 nm,3.60 GHz,80 W,64 GB,34.1 GB/s,400 MHz
14 nm,3.70 GHz,80 W,64 GB,34.1 GB/s,
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.00 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,1.90 GHz,45 W,64 GB,,650 MHz
14 nm,2.50 GHz,35 W,64 GB,,350 MHz
14 nm,3.00 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.00 GHz,45 W,64 GB,,700 MHz
14 nm,3.00 GHz,45 W,64 GB,,350 MHz
14 nm,3.50 GHz,65 W,64 GB,,350 MHz
14 nm,2.30 GHz,35 W,32 GB,29.8 GB/s,300 MHz
14 nm,2.00 GHz,47 W,32 GB,25.6 GB/s,800 MHz
14 nm,3.50 GHz,95 W,32 GB,29.8 GB/s,300 MHz
14 nm,3.40 GHz,65 W,32 GB,29.8 GB/s,300 MHz
22 nm,1.10 GHz,13 W,32 GB,25.6 GB/s,
22 nm,3.30 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.30 GHz,80 W,32 GB,25.6 GB/s,
22 nm,1.80 GHz,25 W,32 GB,25.6 GB/s,
22 nm,3.40 GHz,80 W,32 GB,25.6 GB/s,
22 nm,3.40 GHz,80 W,32 GB,25.6 GB/s,
22 nm,2.00 GHz,25 W,32 GB,25.6 GB/s,
22 nm,3.50 GHz,80 W,32 GB,25.6 GB/s,
22 nm,3.40 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.50 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.60 GHz,80 W,32 GB,25.6 GB/s,
22 nm,2.30 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,80 W,32 GB,25.6 GB/s,
22 nm,2.70 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.60 GHz,82 W,32 GB,25.6 GB/s,
22 nm,3.60 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.70 GHz,82 W,32 GB,25.6 GB/s,
22 nm,3.60 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.10 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.70 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,1.80 GHz,25 W,32 GB,25.6 GB/s,
22 nm,2.50 GHz,40 W,32 GB,25.6 GB/s,
22 nm,2.30 GHz,17 W,32.23 GB,25.6 GB/s,
22 nm,3.10 GHz,69 W,32.77 GB,25.6 GB/s,
22 nm,3.20 GHz,77 W,32.77 GB,25.6 GB/s,650 MHz
22 nm,3.30 GHz,69 W,32.77 GB,25.6 GB/s,
22 nm,3.40 GHz,69 W,32.77 GB,25.6 GB/s,
22 nm,3.40 GHz,77 W,32.77 GB,25.6 GB/s,650 MHz
